pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species	refseq id	sample body site	habitat	cell shape	id	summary_rank
Abiotrophia defectiva ATCC 49176 (592010.4)	2.0	Human	592010.0	592010.4	GCF_000160075.2	2562617177.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Blood	Circulatory system	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	2041839.0	2009.0	959280.0	47.0	1950.0	97.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/075/GCF_000160075.2_ASM16007v2	g__Abiotrophia.json	592010.0	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Abiotrophia	s__Abiotrophia sp001815865					g__Abiotrophia	genus
	0.0	Human	329726.0		GCF_000018105.1	641228474.0	PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	8361599.0	8488.0	3926263.0	47.0	8409.0	99.07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	g__Acaryochloris.json	329726.0	d__Bacteria	p__Cyanobacteriota	c__Cyanobacteriia	o__Thermosynechococcales	f__Thermosynechococcaceae	g__Acaryochloris	s__Acaryochloris marina	GCF_000018105.1	0.0			g__Acaryochloris	genus
	0.0	Human	258515.0		GCF_900103835.1	2667527408.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe	0.0	Motile	0.0	2916215.0	2842.0	1429234.0	49.0	2773.0	97.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/835/GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly	g__Acetanaerobacterium.json	258515.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Acetanaerobacterium	s__Acetanaerobacterium elongatum		0.0	0.0		g__Acetanaerobacterium	genus
		Human							0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe			0.0				36.0				g__Acetivibrio.json		d__Bacteria	p__Bacillota	c__Clostridia	o__Acetivibrionales	f__Acetivibrionaceae	g__Acetivibrio			0.0			g__Acetivibrio	genus
	0.0	Mouse	52694.0		GCF_001766835.1	2690315663.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Wastewater	Dissolved organics (anaerobic)	Nutrient removal	Gram+	Anaerobe	0.0	0	0.0	3895828.0	3664.0	1716937.0	44.0	3619.0	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/835/GCF_001766835.1_ASM176683v1	g__Acetobacterium.json	52694.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Eubacteriaceae	g__Acetobacterium	s__Acetobacterium wieringae		0.0	0.0	0.0	g__Acetobacterium	genus
Acetonema longum DSM 6540 (1009370.3)	1.0	Human	1009370.0	1009370.3	GCF_000219125.1	651324002.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0	0.0	4323011.0	4347.0	2177104.0	50.0	4284.0	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1	g__Acetonema.json	1009370.0	d__Bacteria	p__Bacillota	c__Negativicutes	o__Sporomusales	f__Acetonemataceae	g__Acetonema	s__Acetonema longum		0.0			g__Acetonema	genus
		Human							0.0	0.0	Yes						Gram-	Aerobe	0.0	Motile	0.0								g__Achromobacter.json		d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Achromobacter			0.0			g__Achromobacter	genus
	0.0	Human	1120920.0		GCF_900103005.1	2599185234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Nonmotile	0.0	3615609.0	3376.0	1762943.0	49.0	3280.0	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/005/GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	g__Acidaminobacter.json	1120920.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Acidaminobacteraceae	g__Acidaminobacter	s__Acidaminobacter hydrogenoformans		0.0			g__Acidaminobacter	genus
		Human							0.0	0.0							Gram-	Anaerobe	0.0	0	0.0								g__Acidaminococcus.json		d__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus			0.0	0.0	0.0	g__Acidaminococcus	genus
Propionibacterium acidipropionici ATCC 4875 (1171373.8)		Human		1171373.8			PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Food production	Unclassified	Dairy products	Gram+	Anaerobe	0.0		0.0				69.0				g__Acidipropionibacterium.json		d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Propionibacteriales	f__Propionibacteriaceae	g__Acidipropionibacterium		GCF_000162935.1	0.0			g__Acidipropionibacterium	genus
