2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	host	ncbi taxonomy id	refseq id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body site	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	ncbi_taxid	kingdom	phylum	class	order	family	genus	species	habitat	pubseedid	annotation version id	cell shape	id	summary_rank
0.0	Human	329726.0	GCF_000018105.1	GCF_000018105.1	641228474.0	PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	0.0	8361599.0	8488.0	3926263.0	47.0	8409.0	99.07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	s__Acaryochloris_marina.json	329726.0	d__Bacteria	p__Cyanobacteriota	c__Cyanobacteriia	o__Thermosynechococcales	f__Thermosynechococcaceae	g__Acaryochloris	s__Acaryochloris marina					s__Acaryochloris_marina	species
0.0	Human	258515.0		GCF_900103835.1	2667527408.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe	0.0	Motile	0.0	0.0	2916215.0	2842.0	1429234.0	49.0	2773.0	97.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/835/GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly	s__Acetanaerobacterium_elongatum.json	258515.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Acetanaerobacterium	s__Acetanaerobacterium elongatum	0.0				s__Acetanaerobacterium_elongatum	species
1.0	Human	509191.0		GCF_000179595.2	2510461053.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe		Motile	0.0	0.0	6156735.0	5163.0	2184827.0	36.0	5094.0	98.66	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/595/GCF_000179595.2_ASM17959v2	s__Acetivibrio_cellulolyticus.json	509191.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Acetivibrionales	f__Acetivibrionaceae	g__Acetivibrio	s__Acetivibrio cellulolyticus		Acetivibrio cellulolyticus CD2 (509191.4)	509191.4		s__Acetivibrio_cellulolyticus	species
2.0	Human	720554.0		GCF_000237085.1	2507262051.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Engineered	Wastewater	Unclassified	Unclassified	Gram+	Anaerobe		Nonmotile	0.0	0.0	4897678.0	4229.0	1749312.0	36.0	4131.0	97.68	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/085/GCF_000237085.1_ASM23708v1	s__Acetivibrio_clariflavus.json	720554.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Acetivibrionales	f__Acetivibrionaceae	g__Acetivibrio	s__Acetivibrio clariflavus		Clostridium clariflavum DSM 19732 (720554.3)	720554.3		s__Acetivibrio_clariflavus	species
1.0	Human	1009370.0		GCF_000219125.1	651324002.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0	0.0	0.0	4323011.0	4347.0	2177104.0	50.0	4284.0	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1	s__Acetonema_longum.json	1009370.0	d__Bacteria	p__Bacillota	c__Negativicutes	o__Sporomusales	f__Acetonemataceae	g__Acetonema	s__Acetonema longum		Acetonema longum DSM 6540 (1009370.3)	1009370.3		s__Acetonema_longum	species
2.0	Human	1003200.0		GCF_000219745.1	2529293051.0	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0.0	0.0	Yes		Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Aerobe	0.0	Motile	0.0	0.0	6707795.0	6220.0	4574268.0	68.0	6161.0	99.05	https://www.ncbi.nlm.nih.gov/assembly/GCF_000219745.1/	s__Achromobacter_insuavis_A.json	1003200.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Achromobacter	s__Achromobacter insuavis_A		Achromobacter xylosoxidans AXX-A (1003200.3)	1003200.3		s__Achromobacter_insuavis_A	species
0.0	Human	1216976.0		GCF_001598595.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	Aerobe	0.0	Motile	0.0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/595/GCF_001598595.1_ASM159859v1	s__Achromobacter_xylosoxidans.json	1216976.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Achromobacter	s__Achromobacter xylosoxidans	0.0				s__Achromobacter_xylosoxidans	species
1.0	Human	762376.0		GCF_000165835.1	649633001.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes		Environmental	Terrestrial	Unclassified	Soil	Gram-	Aerobe	0.0	Motile	0.0	0.0	7359146.0	6885.0	4840772.0	66.0	6815.0	98.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/835/GCF_000165835.1_ASM16583v1	s__Achromobacter_xylosoxidans_B.json	762376.0	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Achromobacter	s__Achromobacter xylosoxidans_B		Achromobacter xylosoxidans A8 (762376.5)	762376.5		s__Achromobacter_xylosoxidans_B	species
0.0	Human	1120920.0		GCF_900103005.1	2599185234.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram-	Anaerobe	0.0	Nonmotile	0.0	0.0	3615609.0	3376.0	1762943.0	49.0	3280.0	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/005/GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly	s__Acidaminobacter_hydrogenoformans.json	1120920.0	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Acidaminobacteraceae	g__Acidaminobacter	s__Acidaminobacter hydrogenoformans					s__Acidaminobacter_hydrogenoformans	species
2.0	Human	591001.0		GCF_000025305.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	Anaerobe	0.0	0	0.0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1	s__Acidaminococcus_fermentans.json	591001.0	d__Bacteria	p__Bacillota	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__Acidaminococcus fermentans	0.0	Acidaminococcus fermentans DSM 20731 (591001.3)	591001.3	0.0	s__Acidaminococcus_fermentans	species
