pubseedid	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	strain	species	genus	family	order	class	phylum	kingdom	host	ncbi taxonomy id	annotation version id	gcf id	img genome id	strain/species reference	reference category	ecotype	specific ecosystem	cultured	diseases	ecosystem	ecosystem category	ecosystem subtype	ecosystem type	gram staining	oxygen requirement	metabolism	motility	sample body subsite	genome size   * assembled	gene count   * assembled	gc count   * assembled	gc   * assembled	cds count   * assembled	cds %   * assembled	genome link	file	sample body site	refseq id	habitat	cell shape	id	summary_rank
Abiotrophia defectiva ATCC 49176 (592010.4)	2.0	Abiotrophia defectiva ATCC 49176	Abiotrophia defectiva	Abiotrophia	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Human	592010.0	592010.4	GCF_000160075.2	2562617177.0	PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0	Yes	0.0	Host-associated	Human	Blood	Circulatory system	Gram+	Facultative anaerobe	0.0	Nonmotile	0.0	2041839.0	2009.0	959280.0	47.0	1950.0	97.06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/075/GCF_000160075.2_ASM16007v2	Abiotrophia.json					Abiotrophia	genus
Acaricomes phytoseiuli DSM 14247 (1120917.3)	1.0	Acaricomes phytoseiuli DSM 14247	Acaricomes phytoseiuli	Acaricomes	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Human	1120917.0	1120917.3	GCF_000376245.1	2517572146.0	PMID:31275260	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Aerobe	0.0	Nonmotile	0.0	2419519.0	2387.0	1506904.0	62.0	2326.0	97.44	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/245/GCF_000376245.1_ASM37624v1	Acaricomes.json	0.0				Acaricomes	genus
	0.0	Acaryochloris marina MBIC11017	Acaryochloris marina	Acaryochloris	Acaryochloridaceae	Synechococcales	unclassified Cyanobacteria	Cyanobacteria	Bacteria	Human	329726.0		GCF_000018105.1	641228474.0	PMID:31092280	DAR genome selection	0.0	0.0	Yes	0.0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0.0	Nonmotile	0.0	8361599.0	8488.0	3926263.0	47.0	8409.0	99.07	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	Acaryochloris.json	0.0	GCF_000018105.1			Acaryochloris	genus
	0.0	Acetanaerobacterium elongatum	Acetanaerobacterium elongatum	Acetanaerobacterium	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	258515.0		GCF_900103835.1	2667527408.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	0	0	0	0	Gram+	Anaerobe	0.0	Motile	0.0	2916215.0	2842.0	1429234.0	49.0	2773.0	97.57	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/835/GCF_900103835.1_IMG-taxon_2667527408_annotated_assembly	Acetanaerobacterium.json	0.0		0.0		Acetanaerobacterium	genus
	0.0	Acetatifactor muris	Acetatifactor muris	Acetatifactor	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	879566.0		GCF_900248245.1	2831971958.0	PMID:27670113	Literature research	0.0	0.0	Yes	0.0	Host-associated	Unclassified	Unclassified	Unclassified	Gram+	Anaerobe	0.0	Nonmotile	0.0	6013646.0	6002.0	2868509.0	48.0	5901.0	98.32	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/248/245/GCF_900248245.1_Amuris69	Acetatifactor.json	0.0		0.0		Acetatifactor	genus
				Acetivibrio	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria								0.0	0.0	Yes	0.0					Gram+	Anaerobe			0.0								Acetivibrio.json	0.0				Acetivibrio	genus
Clostridium sticklandii DSM 519 (499177.3)	2.0	Acetoanaerobium sticklandii DSM 519	Acetoanaerobium sticklandii	Acetoanaerobium	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Human	499177.0	499177.3	GCF_000196455.1		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram+	Anaerobe	0.0	Motile	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/455/GCF_000196455.1_ASM19645v1	Acetoanaerobium.json	0.0		0.0	0.0	Acetoanaerobium	genus
	0.0	Acetobacterium wieringae	Acetobacterium wieringae	Acetobacterium	Eubacteriaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Mouse	52694.0		GCF_001766835.1	2690315663.0	Personal communication, Dr. Jan Krumsiek	Personal communication	0.0	0.0	Yes	0.0	Engineered	Wastewater	Dissolved organics (anaerobic)	Nutrient removal	Gram+	Anaerobe	0.0	0	0.0	3895828.0	3664.0	1716937.0	44.0	3619.0	98.77	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/835/GCF_001766835.1_ASM176683v1	Acetobacterium.json	0.0		0.0	0.0	Acetobacterium	genus
Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	2.0	Acetomicrobium hydrogeniformans	Anaerobaculum hydrogeniformans	Acetomicrobium	Synergistaceae	Synergistales	Synergistia	Synergistetes	Bacteria	Human	649746.0	592015.5	GCF_000160455.2		PMID:20203603; PMID:24861948	AGORA 1.03	0.0	0.0							Gram-	Anaerobe	0.0	0	0.0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/455/GCF_000160455.2_ASM16045v2	Acetomicrobium.json	0.0		0.0	0.0	Acetomicrobium	genus
Acetonema longum DSM 6540 (1009370.3)	1.0	Acetonema longum DSM 6540	Acetonema longum	Acetonema	Sporomusaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	Human	1009370.0	1009370.3	GCF_000219125.1	651324002.0	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0.0	0.0	Yes	0.0	Host-associated	Insecta	Unclassified	Digestive system	Gram-	Anaerobe	0.0	0	0.0	4323011.0	4347.0	2177104.0	50.0	4284.0	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/125/GCF_000219125.1_ASM21912v1	Acetonema.json	0.0				Acetonema	genus
